group_by,group,bets,graded,wins,losses,pending,hit_rate,profit_1u,roi,avg_model_probability,avg_ev
simulation_stack_grade,SIM_ELITE_2MAN,12,0,0,0,12,,0.0000,,,
simulation_stack_grade,SIM_STRONG_2MAN,42,0,0,0,42,,0.0000,,,
simulation_stack_grade,SIM_PLAYABLE_2MAN,256,0,0,0,256,,0.0000,,,
simulation_stack_grade,SIM_ELITE_3MAN,4,0,0,0,4,,0.0000,,,
simulation_stack_grade,SIM_STRONG_3MAN,48,0,0,0,48,,0.0000,,,
simulation_stack_grade,SIM_LEAN_2MAN,296,0,0,0,296,,0.0000,,,
simulation_stack_grade,SIM_PLAYABLE_3MAN,392,0,0,0,392,,0.0000,,,
simulation_stack_grade,SIM_ELITE_4MAN_LOTTO,1,0,0,0,1,,0.0000,,,
simulation_stack_grade,SIM_LEAN_3MAN,881,0,0,0,881,,0.0000,,,
simulation_stack_grade,SIM_STRONG_4MAN_LOTTO,21,0,0,0,21,,0.0000,,,
simulation_stack_grade,SIM_PLAYABLE_4MAN_LOTTO,334,0,0,0,334,,0.0000,,,
simulation_stack_grade,SIM_LEAN_4MAN_LOTTO,4008,0,0,0,4008,,0.0000,,,
simulation_stack_grade,SIM_THIN_2MAN,1247,0,0,0,1247,,0.0000,,,
simulation_stack_grade,SIM_THIN_3MAN,4884,0,0,0,4884,,0.0000,,,
simulation_stack_grade,SIM_THIN_4MAN,9712,0,0,0,9712,,0.0000,,,
