player,player_key,player_id,team,game,event_id,market,line,best_odds,best_book,book_count,market_average_odds,all_books,source
Aaron Judge,aaron judge,AARON_JUDGE_1_MLB,NEW_YORK_YANKEES_MLB,New York Yankees @ New York Mets,EfX5X71vGSjFXKmbIcxY,1+ Hit,0.5,-210,betmgm,6,-224,betmgm:-210 | fanduel:-220 | espnbet:-220 | bovada:-225 | caesars:-230 | draftkings:-241,SportsGameOdds
Adley Rutschman,adley rutschman,ADLEY_RUTSCHMAN_1_MLB,BALTIMORE_ORIOLES_MLB,Baltimore Orioles @ Washington Nationals,jkvwAdFvDLQY4Xvktwk1,1+ Hit,0.5,-235,betmgm,6,-273,betmgm:-235 | espnbet:-260 | draftkings:-276 | caesars:-280 | fanduel:-290 | bovada:-300,SportsGameOdds
Adolis García,adolis garcía,JOSE_BARRERO_1_MLB,PHILADELPHIA_PHILLIES_MLB,Philadelphia Phillies @ Pittsburgh Pirates,Nq7MBysDaMRfYt9Chvjq,1+ Hit,0.5,-175,betmgm,6,-189,betmgm:-175 | espnbet:-180 | fanduel:-190 | bovada:-190 | caesars:-190 | draftkings:-212,SportsGameOdds
Alec Bohm,alec bohm,ALEC_BOHM_1_MLB,PHILADELPHIA_PHILLIES_MLB,Philadelphia Phillies @ Pittsburgh Pirates,Nq7MBysDaMRfYt9Chvjq,1+ Hit,0.5,-165,betmgm,6,-216,betmgm:-165 | espnbet:-200 | fanduel:-230 | caesars:-230 | bovada:-235 | draftkings:-235,SportsGameOdds
Alec Burleson,alec burleson,ALEC_BURLESON_1_MLB,STLOUIS_CARDINALS_MLB,Kansas City Royals @ St. Louis Cardinals,rvthegEIrAEvXgoXqnAa,1+ Hit,0.5,-220,espnbet,6,-254,espnbet:-220 | betmgm:-235 | caesars:-240 | fanduel:-270 | bovada:-275 | draftkings:-286,SportsGameOdds
Alejandro Osuna,alejandro osuna,ALEJANDRO_OSUNA_1_MLB,TEXAS_RANGERS_MLB,Texas Rangers @ Houston Astros,2arMilGiaVhajMn8oOwm,1+ Hit,0.5,-115,betmgm,6,-122,betmgm:-115 | fanduel:-120 | caesars:-121 | bovada:-121 | draftkings:-125 | espnbet:-130,SportsGameOdds
Alex Bregman,alex bregman,ALEX_BREGMAN_1_MLB,CHICAGO_CUBS_MLB,Chicago Cubs @ Chicago White Sox,5V5IFTF9KGU3FYQtIb6f,1+ Hit,0.5,-200,espnbet,6,-214,espnbet:-200 | betmgm:-200 | caesars:-213 | fanduel:-220 | bovada:-225 | draftkings:-228,SportsGameOdds
Andrés Giménez,andrés giménez,ANDRES_GIMENEZ_1_MLB,TORONTO_BLUE_JAYS_MLB,Toronto Blue Jays @ Detroit Tigers,T9qul5Ie7BmzUPHcKAdN,1+ Hit,0.5,-160,betmgm,6,-188,betmgm:-160 | espnbet:-180 | draftkings:-190 | caesars:-197 | bovada:-200 | fanduel:-200,SportsGameOdds
Andrew Benintendi,andrew benintendi,ANDREW_BENINTENDI_1_MLB,CHICAGO_WHITE_SOX_MLB,Chicago Cubs @ Chicago White Sox,5V5IFTF9KGU3FYQtIb6f,1+ Hit,0.5,-140,espnbet,6,-151,espnbet:-140 | bovada:-149 | fanduel:-150 | betmgm:-150 | caesars:-154 | draftkings:-163,SportsGameOdds
Andrew Vaughn,andrew vaughn,ANDREW_VAUGHN_1_MLB,MILWAUKEE_BREWERS_MLB,Milwaukee Brewers @ Minnesota Twins,3itxNJYiA3Wh4p2bJOJs,1+ Hit,0.5,-217,draftkings,1,-217,draftkings:-217,SportsGameOdds
Andy Pages,andy pages,ANDY_PAGES_1_MLB,LOS_ANGELES_DODGERS_MLB,Los Angeles Dodgers @ Los Angeles Angels,ocN7K0W6fGdkYTeIusGv,1+ Hit,0.5,-225,betmgm,6,-242,betmgm:-225 | fanduel:-240 | bovada:-240 | espnbet:-240 | caesars:-245 | draftkings:-260,SportsGameOdds
Angel Martínez,angel martínez,ANGEL_MARTINEZ_1_MLB,CLEVELAND_GUARDIANS_MLB,Cincinnati Reds @ Cleveland Guardians,j7zaXsZeq04dwou0QAaZ,1+ Hit,0.5,-200,espnbet,6,-230,espnbet:-200 | caesars:-225 | betmgm:-225 | draftkings:-228 | bovada:-250 | fanduel:-250,SportsGameOdds
Anthony Volpe,anthony volpe,ANTHONY_VOLPE_1_MLB,NEW_YORK_YANKEES_MLB,New York Yankees @ New York Mets,EfX5X71vGSjFXKmbIcxY,1+ Hit,0.5,-135,betmgm,6,-154,betmgm:-135 | espnbet:-150 | caesars:-159 | bovada:-159 | fanduel:-160 | draftkings:-162,SportsGameOdds
Austin Riley,austin riley,AUSTIN_RILEY_1_MLB,ATLANTA_BRAVES_MLB,Boston Red Sox @ Atlanta Braves,azr6g0BYc5oimCrDM5DD,1+ Hit,0.5,-190,espnbet,6,-202,espnbet:-190 | caesars:-200 | betmgm:-200 | draftkings:-203 | bovada:-210 | fanduel:-210,SportsGameOdds
Austin Wells,austin wells,AUSTIN_WELLS_1_MLB,NEW_YORK_YANKEES_MLB,New York Yankees @ New York Mets,EfX5X71vGSjFXKmbIcxY,1+ Hit,0.5,-109,draftkings,6,-115,draftkings:-109 | caesars:-113 | fanduel:-115 | bovada:-115 | espnbet:-115 | betmgm:-125,SportsGameOdds
Ben Rice,ben rice,BENJAMIN_RICE_1_MLB,NEW_YORK_YANKEES_MLB,New York Yankees @ New York Mets,EfX5X71vGSjFXKmbIcxY,1+ Hit,0.5,-200,betmgm,6,-226,betmgm:-200 | fanduel:-220 | espnbet:-220 | bovada:-225 | caesars:-235 | draftkings:-256,SportsGameOdds
Ben Williamson,ben williamson,BEN_WILLIAMSON_1_MLB,TAMPA_BAY_RAYS_MLB,Tampa Bay Rays @ Boston Red Sox,png5Jnyn8noqiLklagdD,1+ Hit,0.5,-190,espnbet,6,-201,espnbet:-190 | draftkings:-196 | caesars:-200 | bovada:-200 | fanduel:-210 | betmgm:-210,SportsGameOdds
Blaze Alexander,blaze alexander,BLAZE_ALEXANDER_1_MLB,BALTIMORE_ORIOLES_MLB,Baltimore Orioles @ Washington Nationals,jkvwAdFvDLQY4Xvktwk1,1+ Hit,0.5,-160,betmgm,4,-175,betmgm:-160 | caesars:-170 | fanduel:-185 | bovada:-186,SportsGameOdds
Bo Bichette,bo bichette,BO_BICHETTE_1_MLB,NEW_YORK_METS_MLB,New York Yankees @ New York Mets,EfX5X71vGSjFXKmbIcxY,1+ Hit,0.5,-220,betmgm,6,-279,betmgm:-220 | caesars:-280 | draftkings:-282 | fanduel:-290 | bovada:-300 | espnbet:-300,SportsGameOdds
Bobby Witt Jr.,bobby witt,BOBBY_WITT_JR_1_MLB,KANSAS_CITY_ROYALS_MLB,Kansas City Royals @ St. Louis Cardinals,rvthegEIrAEvXgoXqnAa,1+ Hit,0.5,-325,betmgm,6,-361,betmgm:-325 | draftkings:-350 | espnbet:-350 | fanduel:-360 | bovada:-360 | caesars:-420,SportsGameOdds
Brady House,brady house,BRADY_HOUSE_1_MLB,WASHINGTON_NATIONALS_MLB,Baltimore Orioles @ Washington Nationals,jkvwAdFvDLQY4Xvktwk1,1+ Hit,0.5,-185,betmgm,6,-207,betmgm:-185 | espnbet:-200 | bovada:-210 | fanduel:-210 | caesars:-218 | draftkings:-222,SportsGameOdds
Brandon Lowe,brandon lowe,BRANDON_LOWE_1_MLB,PITTSBURGH_PIRATES_MLB,Philadelphia Phillies @ Pittsburgh Pirates,Nq7MBysDaMRfYt9Chvjq,1+ Hit,0.5,-190,espnbet,6,-204,espnbet:-190 | caesars:-200 | draftkings:-203 | fanduel:-210 | bovada:-210 | betmgm:-210,SportsGameOdds
Brandon Marsh,brandon marsh,BRANDON_MARSH_1_MLB,PHILADELPHIA_PHILLIES_MLB,Philadelphia Phillies @ Pittsburgh Pirates,Nq7MBysDaMRfYt9Chvjq,1+ Hit,0.5,-190,espnbet,6,-202,espnbet:-190 | fanduel:-200 | bovada:-200 | caesars:-200 | draftkings:-210 | betmgm:-210,SportsGameOdds
Brandon Nimmo,brandon nimmo,BRANDON_NIMMO_1_MLB,TEXAS_RANGERS_MLB,Texas Rangers @ Houston Astros,2arMilGiaVhajMn8oOwm,1+ Hit,0.5,-190,betmgm,6,-236,betmgm:-190 | espnbet:-220 | draftkings:-236 | caesars:-245 | fanduel:-260 | bovada:-265,SportsGameOdds
